account_id,account_name,industry,country,signup_date,referral_source,plan_tier,seats,is_trial,churn_flag,customer_age_days,singup_month,singup_quarter,capital,region,population,currency,flag
A-1b7577,Company_39,Cybersecurity,Us,2024-10-27,Other,Pro,4,False,False,634,October,4,,,,,
A-05f0e5,Company_40,Fintech,Us,2023-05-04,Partner,Basic,32,False,False,1176,May,2,,,,,
A-9077b0,Company_41,Healthtech,Us,2024-08-25,Ads,Basic,2,False,False,697,August,3,,,,,
A-7f8241,Company_42,Edtech,Us,2023-03-14,Organic,Pro,34,False,True,1227,March,1,,,,,
A-2bc93d,Company_43,Healthtech,Us,2023-03-14,Event,Basic,14,False,False,1227,March,1,,,,,
A-f3ff05,Company_44,Fintech,In,2024-07-06,Other,Enterprise,2,False,False,747,July,3,,,,,
A-2d4502,Company_45,Fintech,In,2024-04-29,Event,Basic,7,False,False,815,April,2,,,,,
A-6a4e2d,Company_46,Edtech,Uk,2023-04-07,Partner,Pro,9,False,False,1203,April,2,,,,,
A-eb7c38,Company_47,Devtools,Au,2024-02-25,Organic,Enterprise,5,False,False,879,February,1,,,,,
A-c37601,Company_48,Edtech,Us,2024-10-31,Partner,Basic,6,True,False,630,October,4,,,,,
A-3b5cd1,Company_49,Fintech,Us,2023-09-12,Event,Basic,13,True,False,1045,September,3,,,,,
A-b2225d,Company_50,Fintech,Us,2024-03-08,Ads,Basic,47,False,True,867,March,1,,,,,
A-94f8c9,Company_51,Healthtech,Us,2024-03-29,Other,Basic,13,False,False,846,March,1,,,,,
A-02fac6,Company_52,Fintech,Us,2023-04-06,Event,Pro,22,False,False,1204,April,2,,,,,
A-c1dfe1,Company_53,Devtools,De,2023-08-07,Ads,Pro,26,False,False,1081,August,3,,,,,
A-32728c,Company_54,Devtools,Us,2023-01-03,Event,Pro,20,False,True,1297,January,1,,,,,
A-4c38bc,Company_55,Healthtech,Uk,2024-03-09,Event,Basic,36,False,True,866,March,1,,,,,
A-1b707d,Company_56,Cybersecurity,Us,2023-07-14,Organic,Enterprise,1,False,False,1105,July,3,,,,,
A-6f8ad2,Company_57,Edtech,In,2024-07-09,Organic,Basic,1,False,False,744,July,3,,,,,
A-4d1e75,Company_58,Devtools,Us,2024-08-21,Other,Basic,20,False,False,701,August,3,,,,,
A-9ee962,Company_59,Healthtech,Us,2023-02-28,Ads,Basic,9,False,True,1241,February,1,,,,,
A-378b99,Company_60,Edtech,Uk,2024-09-01,Ads,Pro,8,True,False,690,September,3,,,,,
A-94d3da,Company_61,Healthtech,Us,2023-05-03,Other,Basic,41,False,False,1177,May,2,,,,,
A-e351e1,Company_62,Edtech,Us,2024-09-26,Other,Enterprise,33,False,False,665,September,3,,,,,
A-9badbd,Company_63,Cybersecurity,De,2024-06-19,Ads,Enterprise,5,True,False,764,June,2,,,,,
A-7e0a10,Company_64,Fintech,Us,2023-11-18,Ads,Enterprise,46,False,False,978,November,4,,,,,
A-118d55,Company_65,Cybersecurity,Us,2024-10-22,Organic,Basic,8,False,False,639,October,4,,,,,
A-526d93,Company_66,Healthtech,Fr,2024-04-14,Organic,Basic,43,False,False,830,April,2,,,,,
A-f92792,Company_67,Fintech,Us,2024-07-04,Ads,Pro,1,False,False,749,July,3,,,,,
A-84ebe4,Company_68,Fintech,Us,2023-03-12,Ads,Pro,18,True,True,1229,March,1,,,,,
A-5b4ebb,Company_69,Cybersecurity,Uk,2024-07-10,Other,Basic,21,True,True,743,July,3,,,,,
A-2922b6,Company_70,Healthtech,Us,2024-11-14,Organic,Basic,15,False,False,616,November,4,,,,,
A-9b9fe9,Company_71,Edtech,Au,2023-09-28,Other,Basic,5,False,False,1029,September,3,,,,,
A-a8b49c,Company_72,Cybersecurity,Uk,2023-10-06,Partner,Basic,7,False,False,1021,October,4,,,,,
A-9174e0,Company_73,Cybersecurity,Us,2024-12-04,Partner,Basic,37,False,False,596,December,4,,,,,
A-a1bbb6,Company_74,Devtools,Ca,2023-04-05,Organic,Basic,1,False,False,1205,April,2,,,,,
A-c45b23,Company_75,Fintech,Uk,2023-12-08,Partner,Basic,5,False,False,958,December,4,,,,,
A-02cd81,Company_76,Healthtech,In,2024-03-28,Other,Basic,44,False,False,847,March,1,,,,,
A-ee42db,Company_77,Edtech,De,2023-04-25,Ads,Enterprise,13,False,False,1185,April,2,,,,,
A-432483,Company_78,Cybersecurity,Us,2023-02-06,Ads,Pro,4,False,False,1263,February,1,,,,,
A-9208f0,Company_79,Edtech,Us,2023-05-11,Organic,Pro,1,False,True,1169,May,2,,,,,
A-98a59a,Company_80,Fintech,Uk,2023-08-04,Partner,Enterprise,56,False,False,1084,August,3,,,,,
A-fe79a5,Company_81,Healthtech,In,2024-02-21,Ads,Basic,9,True,False,883,February,1,,,,,
A-726cfa,Company_82,Devtools,Us,2023-07-01,Partner,Pro,11,False,False,1118,July,3,,,,,
A-c43359,Company_83,Fintech,Us,2024-11-16,Organic,Pro,38,False,False,614,November,4,,,,,
A-271f46,Company_84,Devtools,Us,2023-02-09,Event,Pro,38,False,True,1260,February,1,,,,,
A-157070,Company_85,Fintech,Us,2023-11-09,Ads,Pro,16,False,False,987,November,4,,,,,
A-40a557,Company_86,Cybersecurity,Au,2023-12-03,Partner,Pro,16,True,False,963,December,4,,,,,
A-66224b,Company_87,Healthtech,Us,2024-10-18,Other,Pro,92,True,False,643,October,4,,,,,
A-91e948,Company_88,Edtech,Au,2023-01-29,Partner,Basic,41,False,False,1271,January,1,,,,,
A-104f1a,Company_89,Cybersecurity,Us,2024-08-17,Other,Pro,24,False,False,705,August,3,,,,,
A-7988d1,Company_90,Cybersecurity,Us,2023-12-20,Other,Basic,33,False,False,946,December,4,,,,,
A-faa28c,Company_91,Healthtech,Us,2024-01-30,Organic,Enterprise,48,False,False,905,January,1,,,,,
A-f25509,Company_92,Edtech,Us,2024-03-22,Other,Enterprise,32,False,False,853,March,1,,,,,
A-3a7284,Company_93,Fintech,Us,2024-11-17,Organic,Enterprise,31,False,False,613,November,4,,,,,
A-3a5ad8,Company_94,Healthtech,Us,2023-12-05,Organic,Enterprise,9,True,False,961,December,4,,,,,
A-65a46c,Company_95,Healthtech,Us,2023-11-04,Event,Pro,1,False,False,992,November,4,,,,,
A-8b25f2,Company_96,Cybersecurity,Us,2024-02-17,Ads,Pro,6,False,True,887,February,1,,,,,
A-fabe19,Company_97,Devtools,Uk,2024-11-11,Ads,Enterprise,1,False,False,619,November,4,,,,,
A-adc1f3,Company_98,Cybersecurity,Us,2024-08-05,Organic,Pro,2,False,False,717,August,3,,,,,
A-503d5a,Company_99,Fintech,Us,2023-10-21,Other,Enterprise,4,False,True,1006,October,4,,,,,
A-fd7ad3,Company_100,Cybersecurity,Us,2024-11-01,Event,Enterprise,1,False,False,629,November,4,,,,,
A-186a44,Company_101,Healthtech,Us,2023-08-07,Ads,Enterprise,20,False,False,1081,August,3,,,,,
A-e888d1,Company_102,Cybersecurity,Us,2023-03-28,Other,Pro,14,False,False,1213,March,1,,,,,
A-69fad4,Company_103,Fintech,Uk,2023-04-06,Ads,Basic,6,False,True,1204,April,2,,,,,
A-9289f6,Company_104,Edtech,Us,2023-05-31,Event,Enterprise,1,False,False,1149,May,2,,,,,
A-f19409,Company_105,Devtools,Us,2023-03-16,Other,Basic,23,False,True,1225,March,1,,,,,
A-22f2df,Company_106,Devtools,Us,2024-12-14,Ads,Basic,3,False,False,586,December,4,,,,,
A-039727,Company_107,Edtech,Au,2024-11-02,Organic,Pro,25,False,False,628,November,4,,,,,
A-2e3bad,Company_108,Fintech,Ca,2023-08-13,Other,Pro,61,False,False,1075,August,3,,,,,
A-484819,Company_109,Healthtech,Us,2023-02-21,Organic,Pro,18,False,False,1248,February,1,,,,,
A-425e76,Company_110,Devtools,Uk,2023-05-17,Other,Enterprise,8,False,True,1163,May,2,,,,,
A-e83938,Company_111,Devtools,Uk,2023-11-21,Other,Pro,2,True,True,975,November,4,,,,,
A-ad296b,Company_112,Devtools,Au,2024-07-15,Event,Pro,38,False,False,738,July,3,,,,,
A-e51ec7,Company_113,Fintech,Ca,2023-09-23,Partner,Enterprise,2,False,False,1034,September,3,,,,,
A-0aaf6e,Company_114,Fintech,Us,2024-05-11,Organic,Enterprise,3,False,False,803,May,2,,,,,
A-e61e98,Company_115,Fintech,Us,2023-10-20,Partner,Enterprise,19,False,True,1007,October,4,,,,,
A-92a333,Company_116,Fintech,Us,2023-03-24,Event,Enterprise,9,False,False,1217,March,1,,,,,
A-95b24a,Company_117,Fintech,Us,2023-06-06,Event,Pro,38,False,True,1143,June,2,,,,,
A-42e5e1,Company_118,Devtools,Us,2024-07-09,Ads,Pro,1,False,True,744,July,3,,,,,
A-7d514c,Company_119,Healthtech,De,2024-02-03,Organic,Enterprise,17,False,False,901,February,1,,,,,
A-65aeb5,Company_120,Devtools,Us,2024-01-25,Partner,Pro,9,False,False,910,January,1,,,,,
A-e2cd1b,Company_121,Devtools,Us,2024-02-04,Other,Enterprise,15,False,False,900,February,1,,,,,
A-180abf,Company_122,Devtools,Us,2023-08-14,Event,Pro,64,False,True,1074,August,3,,,,,
A-f17767,Company_123,Devtools,Us,2023-01-30,Event,Enterprise,1,True,True,1270,January,1,,,,,
A-5a184f,Company_124,Devtools,De,2023-06-19,Other,Enterprise,1,False,True,1130,June,2,,,,,
A-7df7a7,Company_125,Devtools,Us,2023-01-28,Organic,Basic,7,False,True,1272,January,1,,,,,
A-1ac5e0,Company_126,Devtools,Us,2024-10-20,Event,Basic,33,False,True,641,October,4,,,,,
A-52dd88,Company_127,Cybersecurity,Us,2023-02-21,Ads,Pro,23,False,False,1248,February,1,,,,,
A-bece89,Company_128,Cybersecurity,In,2023-12-01,Event,Pro,26,False,False,965,December,4,,,,,
A-029f69,Company_129,Cybersecurity,Ca,2024-03-07,Event,Basic,3,False,False,868,March,1,,,,,
A-5c046d,Company_130,Edtech,Fr,2024-07-06,Partner,Basic,93,False,False,747,July,3,,,,,
A-fb186e,Company_131,Edtech,In,2024-10-27,Organic,Basic,29,False,False,634,October,4,,,,,
A-ae052e,Company_132,Fintech,Ca,2023-09-11,Other,Basic,39,False,False,1046,September,3,,,,,
A-9f9299,Company_133,Fintech,Us,2023-09-02,Organic,Enterprise,28,True,False,1055,September,3,,,,,
A-96e141,Company_134,Devtools,Uk,2023-08-12,Partner,Basic,14,False,False,1076,August,3,,,,,
A-117171,Company_135,Healthtech,Fr,2024-09-12,Organic,Basic,45,False,True,679,September,3,,,,,
A-313be3,Company_136,Edtech,Us,2023-11-15,Partner,Enterprise,47,True,False,981,November,4,,,,,
A-671f31,Company_137,Devtools,Us,2024-11-24,Ads,Basic,59,False,False,606,November,4,,,,,
A-bbc346,Company_138,Fintech,Us,2024-08-29,Partner,Enterprise,19,False,False,693,August,3,,,,,
A-c16101,Company_139,Edtech,In,2024-09-06,Other,Basic,7,False,False,685,September,3,,,,,
A-50f3f7,Company_140,Healthtech,Us,2023-12-22,Partner,Basic,31,False,True,944,December,4,,,,,
A-7da956,Company_141,Cybersecurity,Us,2024-06-02,Event,Pro,13,True,False,781,June,2,,,,,
A-019782,Company_142,Devtools,Fr,2023-04-19,Event,Enterprise,11,False,False,1191,April,2,,,,,
A-df10db,Company_143,Devtools,Us,2023-06-06,Other,Enterprise,2,True,False,1143,June,2,,,,,
A-3932db,Company_144,Healthtech,Ca,2023-10-04,Other,Pro,19,True,True,1023,October,4,,,,,
A-4f18f0,Company_145,Devtools,Ca,2024-04-21,Other,Pro,24,True,False,823,April,2,,,,,
A-4c6f11,Company_146,Fintech,Ca,2023-11-27,Organic,Pro,24,True,True,969,November,4,,,,,
A-8ae05d,Company_147,Fintech,In,2024-04-06,Other,Enterprise,86,False,False,838,April,2,,,,,
A-b78bf8,Company_148,Devtools,Us,2024-11-15,Event,Pro,33,False,False,615,November,4,,,,,
A-eafc6e,Company_149,Devtools,Us,2023-07-06,Partner,Pro,27,False,True,1113,July,3,,,,,
A-37f969,Company_150,Healthtech,In,2023-10-14,Partner,Enterprise,30,False,False,1013,October,4,,,,,
A-10b8f2,Company_151,Healthtech,De,2023-01-11,Organic,Basic,47,True,False,1289,January,1,,,,,
A-439b2f,Company_152,Devtools,Us,2024-02-21,Ads,Enterprise,1,False,True,883,February,1,,,,,
A-544d0a,Company_153,Devtools,Us,2024-05-02,Organic,Basic,2,True,False,812,May,2,,,,,
A-ba6516,Company_154,Fintech,Us,2023-10-29,Ads,Pro,27,False,False,998,October,4,,,,,
A-712426,Company_155,Healthtech,Us,2024-11-10,Other,Enterprise,9,False,False,620,November,4,,,,,
A-038089,Company_156,Devtools,Fr,2023-12-19,Other,Pro,5,False,True,947,December,4,,,,,
A-afa505,Company_157,Devtools,Us,2023-12-27,Partner,Basic,70,True,False,939,December,4,,,,,
A-d5a319,Company_158,Fintech,Us,2023-05-04,Other,Enterprise,15,False,True,1176,May,2,,,,,
A-f97b9a,Company_159,Fintech,Us,2023-07-09,Event,Pro,16,False,False,1110,July,3,,,,,
A-2f6a32,Company_160,Healthtech,Us,2024-08-26,Organic,Basic,19,False,False,696,August,3,,,,,
A-856b1e,Company_161,Fintech,Us,2023-10-31,Partner,Basic,19,False,False,996,October,4,,,,,
A-17939a,Company_162,Healthtech,Us,2024-12-26,Organic,Basic,1,False,False,574,December,4,,,,,
A-d27f50,Company_163,Cybersecurity,Uk,2024-07-20,Ads,Enterprise,44,False,False,733,July,3,,,,,
A-e36807,Company_164,Edtech,Au,2024-05-17,Other,Pro,6,False,False,797,May,2,,,,,
A-ff79f2,Company_165,Devtools,Us,2024-04-25,Ads,Basic,8,False,True,819,April,2,,,,,
A-5b1bcd,Company_166,Devtools,Us,2023-09-16,Organic,Pro,73,False,False,1041,September,3,,,,,
A-71615e,Company_167,Edtech,Us,2024-05-18,Organic,Basic,15,False,False,796,May,2,,,,,
A-794a0b,Company_168,Healthtech,De,2023-06-02,Organic,Basic,23,False,False,1147,June,2,,,,,
A-86902e,Company_169,Healthtech,In,2023-05-02,Other,Enterprise,34,False,False,1178,May,2,,,,,
A-0532a9,Company_170,Fintech,In,2024-09-25,Event,Pro,19,False,False,666,September,3,,,,,
A-9779ad,Company_171,Cybersecurity,Au,2024-03-29,Event,Pro,40,True,True,846,March,1,,,,,
A-f45426,Company_172,Healthtech,Us,2024-08-05,Organic,Basic,9,False,False,717,August,3,,,,,
A-c1e51e,Company_173,Fintech,Us,2024-10-02,Organic,Basic,3,False,False,659,October,4,,,,,
A-fa3095,Company_174,Fintech,Us,2023-09-03,Ads,Basic,70,False,False,1054,September,3,,,,,
A-ad64c6,Company_175,Devtools,Uk,2024-02-23,Event,Pro,12,False,False,881,February,1,,,,,
A-39b19f,Company_176,Fintech,Us,2023-02-03,Partner,Enterprise,1,False,False,1266,February,1,,,,,
A-56962b,Company_177,Edtech,Uk,2024-04-09,Partner,Enterprise,163,False,False,835,April,2,,,,,
A-e60f9d,Company_178,Fintech,Us,2024-08-26,Other,Basic,29,False,False,696,August,3,,,,,
A-88c6ca,Company_179,Fintech,De,2024-10-25,Ads,Basic,5,False,True,636,October,4,,,,,
A-158f4e,Company_180,Fintech,In,2023-03-03,Other,Enterprise,61,False,False,1238,March,1,,,,,
A-5b051a,Company_181,Cybersecurity,Us,2024-08-05,Event,Enterprise,22,False,False,717,August,3,,,,,
A-296d7c,Company_182,Devtools,De,2023-11-08,Other,Enterprise,2,False,False,988,November,4,,,,,
A-1619f8,Company_183,Devtools,Us,2024-05-20,Organic,Pro,29,False,False,794,May,2,,,,,
A-a1b80b,Company_184,Healthtech,Us,2023-11-27,Organic,Basic,16,False,False,969,November,4,,,,,
A-139c3b,Company_185,Healthtech,Us,2024-11-21,Organic,Enterprise,10,True,True,609,November,4,,,,,
A-702032,Company_186,Healthtech,Us,2023-10-03,Ads,Pro,28,False,False,1024,October,4,,,,,
A-7a0d69,Company_187,Devtools,De,2024-06-15,Ads,Enterprise,4,True,True,768,June,2,,,,,
A-22d9d2,Company_188,Devtools,Fr,2024-03-22,Event,Pro,8,False,False,853,March,1,,,,,
A-b9eed8,Company_189,Cybersecurity,Us,2024-02-23,Organic,Basic,11,False,False,881,February,1,,,,,
A-dfbd31,Company_190,Devtools,Uk,2023-12-04,Partner,Enterprise,14,False,False,962,December,4,,,,,
A-8e47ca,Company_191,Healthtech,Us,2024-02-15,Organic,Pro,19,False,False,889,February,1,,,,,
A-4437e4,Company_192,Cybersecurity,Us,2023-09-16,Event,Enterprise,3,False,False,1041,September,3,,,,,
A-779e4e,Company_193,Healthtech,Us,2023-01-02,Organic,Basic,5,False,False,1298,January,1,,,,,
A-53f4e3,Company_194,Cybersecurity,Uk,2024-06-14,Event,Enterprise,13,False,False,769,June,2,,,,,
A-692f18,Company_195,Edtech,Us,2024-03-28,Other,Basic,5,True,True,847,March,1,,,,,
A-13466a,Company_196,Devtools,Au,2023-10-22,Event,Basic,2,False,True,1005,October,4,,,,,
A-1986ca,Company_197,Healthtech,In,2023-01-30,Ads,Pro,20,False,False,1270,January,1,,,,,
A-0cc442,Company_198,Edtech,Us,2024-07-18,Organic,Basic,45,False,False,735,July,3,,,,,
A-c608c8,Company_199,Devtools,De,2023-04-27,Ads,Pro,3,False,True,1183,April,2,,,,,
A-3be56b,Company_200,Healthtech,In,2023-10-26,Event,Pro,3,False,True,1001,October,4,,,,,
A-354f12,Company_201,Fintech,Us,2024-04-28,Ads,Pro,1,True,False,816,April,2,,,,,
A-68f37c,Company_202,Healthtech,Us,2023-07-15,Ads,Basic,4,False,False,1104,July,3,,,,,
A-aa9511,Company_203,Devtools,Us,2023-10-10,Other,Pro,23,True,False,1017,October,4,,,,,
A-af0cd2,Company_204,Cybersecurity,In,2023-01-03,Other,Enterprise,19,True,False,1297,January,1,,,,,
A-bd4513,Company_205,Devtools,Au,2024-11-06,Event,Enterprise,50,True,False,624,November,4,,,,,
A-c222ab,Company_206,Cybersecurity,Us,2024-05-10,Other,Pro,32,False,True,804,May,2,,,,,
A-34d880,Company_207,Cybersecurity,Au,2024-04-11,Ads,Enterprise,4,False,False,833,April,2,,,,,
A-508199,Company_208,Fintech,Au,2024-01-28,Event,Basic,19,False,False,907,January,1,,,,,
A-f03140,Company_209,Devtools,In,2023-11-22,Event,Pro,27,True,False,974,November,4,,,,,
A-410e86,Company_210,Fintech,Us,2024-11-10,Organic,Basic,24,False,False,620,November,4,,,,,
A-fa2041,Company_211,Healthtech,Us,2024-05-29,Organic,Pro,15,True,False,785,May,2,,,,,
A-de58ca,Company_212,Healthtech,De,2023-04-13,Organic,Enterprise,15,False,False,1197,April,2,,,,,
A-05d3b3,Company_213,Devtools,Au,2023-05-28,Ads,Basic,9,True,False,1152,May,2,,,,,
A-249769,Company_214,Cybersecurity,Us,2024-04-25,Event,Enterprise,4,False,True,819,April,2,,,,,
A-e43bf7,Company_215,Cybersecurity,Au,2023-03-24,Other,Pro,44,False,False,1217,March,1,,,,,
A-eb2fdc,Company_216,Devtools,Au,2023-11-21,Organic,Enterprise,31,False,True,975,November,4,,,,,
A-e1462e,Company_217,Fintech,Uk,2023-03-12,Partner,Basic,15,False,False,1229,March,1,,,,,
A-cab532,Company_218,Devtools,Fr,2023-04-03,Organic,Pro,11,True,False,1207,April,2,,,,,
A-9123ac,Company_219,Cybersecurity,De,2023-06-20,Organic,Pro,9,False,False,1129,June,2,,,,,
A-6e08f3,Company_220,Cybersecurity,Us,2023-02-27,Event,Basic,8,False,False,1242,February,1,,,,,
A-d922bf,Company_221,Healthtech,Us,2023-09-08,Ads,Basic,5,True,True,1049,September,3,,,,,
A-8ed5dd,Company_222,Edtech,Uk,2023-06-29,Event,Enterprise,5,False,True,1120,June,2,,,,,
A-7c6b6b,Company_223,Fintech,Us,2024-11-30,Other,Basic,6,False,False,600,November,4,,,,,
A-3c1a3f,Company_224,Devtools,Uk,2023-08-26,Event,Pro,1,False,False,1062,August,3,,,,,
A-b48f73,Company_225,Edtech,Au,2024-11-13,Event,Pro,80,True,False,617,November,4,,,,,
A-76fa4d,Company_226,Healthtech,Us,2024-11-24,Event,Pro,69,False,False,606,November,4,,,,,
A-b2af2e,Company_227,Cybersecurity,Uk,2024-08-24,Event,Enterprise,5,False,False,698,August,3,,,,,
A-9bfc9f,Company_228,Devtools,Ca,2023-09-14,Ads,Pro,53,False,False,1043,September,3,,,,,
A-4ae22a,Company_229,Edtech,Us,2024-05-09,Other,Pro,6,False,True,805,May,2,,,,,
A-fda07f,Company_230,Cybersecurity,Fr,2024-08-11,Partner,Basic,7,False,False,711,August,3,,,,,
A-de24d5,Company_231,Devtools,Us,2024-11-05,Other,Enterprise,5,True,False,625,November,4,,,,,
A-977ca0,Company_232,Healthtech,In,2023-02-20,Partner,Basic,6,False,True,1249,February,1,,,,,
A-ab438f,Company_233,Cybersecurity,Us,2024-09-13,Ads,Enterprise,13,False,True,678,September,3,,,,,
A-e89151,Company_234,Fintech,Uk,2023-09-14,Organic,Pro,8,True,True,1043,September,3,,,,,
A-40906c,Company_235,Edtech,Us,2024-03-27,Ads,Basic,92,False,False,848,March,1,,,,,
A-81edc3,Company_236,Cybersecurity,In,2023-10-30,Ads,Basic,5,False,False,997,October,4,,,,,
A-328bd0,Company_237,Healthtech,Au,2023-05-16,Partner,Enterprise,18,False,False,1164,May,2,,,,,
A-b3fe05,Company_238,Cybersecurity,Ca,2024-05-28,Partner,Pro,8,False,False,786,May,2,,,,,
A-09540c,Company_239,Cybersecurity,Ca,2023-10-30,Event,Basic,67,True,False,997,October,4,,,,,
A-e693b6,Company_240,Fintech,Au,2023-05-25,Event,Enterprise,55,False,True,1155,May,2,,,,,
A-2446e3,Company_241,Edtech,In,2024-01-10,Organic,Pro,27,False,False,925,January,1,,,,,
A-241e75,Company_242,Edtech,Us,2024-07-03,Partner,Enterprise,3,False,False,750,July,3,,,,,
A-922109,Company_243,Cybersecurity,Us,2024-01-26,Ads,Pro,3,False,False,909,January,1,,,,,
A-ff3c73,Company_244,Healthtech,Au,2023-01-26,Other,Pro,21,False,False,1274,January,1,,,,,
A-8b0451,Company_245,Fintech,Uk,2024-09-16,Event,Enterprise,41,False,False,675,September,3,,,,,
A-331424,Company_246,Devtools,Us,2023-11-06,Organic,Basic,11,False,False,990,November,4,,,,,
A-51ec1b,Company_247,Devtools,Us,2023-11-08,Ads,Enterprise,7,False,False,988,November,4,,,,,
A-bcf664,Company_248,Devtools,Us,2023-05-19,Other,Pro,5,False,False,1161,May,2,,,,,
A-90a8c8,Company_249,Fintech,Au,2024-08-24,Organic,Pro,15,False,False,698,August,3,,,,,
A-86cdb4,Company_250,Devtools,De,2024-09-22,Partner,Basic,2,False,False,669,September,3,,,,,
A-4bfa33,Company_251,Cybersecurity,Us,2024-12-07,Event,Basic,8,True,False,593,December,4,,,,,
A-dbc825,Company_252,Edtech,Fr,2024-01-07,Partner,Enterprise,19,False,False,928,January,1,,,,,
A-c70870,Company_253,Cybersecurity,Us,2024-10-22,Partner,Basic,31,False,False,639,October,4,,,,,
A-7c4956,Company_254,Devtools,Us,2023-05-06,Ads,Enterprise,5,False,True,1174,May,2,,,,,
A-0651a4,Company_255,Healthtech,Fr,2024-10-16,Organic,Pro,16,False,False,645,October,4,,,,,
A-3ce5b8,Company_256,Fintech,In,2023-09-07,Ads,Basic,8,False,True,1050,September,3,,,,,
A-bd4708,Company_257,Fintech,Us,2024-07-21,Ads,Pro,37,True,False,732,July,3,,,,,
